"Command","Workflow"
"classifier information","Classification"
"classifier information","Classification"
"classifier stats","Classification"
"compute and echo the variable importance","Classification"
"compute and echo the variable importance split the into 271.426 % of testing into 258.821 927.72 dimension reduction to 946.036 by non-negative matrix factorization","Classification"
"compute and give the accuracies using column shuffling","Classification"
"compute and give variable importance estimates","Classification"
"compute and give variable importance estimates train a classifier with GradientBoostedTrees","Classification"
"compute measurement NegativePredictedValue , false discovery rate , and log likelihood together with Precision together with classifier function","Classification"
"compute measurement test results classification threshold 817.28 for 09lpr5","Classification"
"compute measurement test results classification threshold 817.28 for 09lpr5 transform the boolean columns to symbolic","Classification"
"compute variable importance","Classification"
"consider 460k3x of f76j3","Classification"
"consider data lk7 data from qm2w6z","Classification"
"consider data s4okuwan5 data for 6y1bfz9","Classification"
"consider data the 2krqv data","Classification"
"consider data the 2pvw4z5sdu data from y039g","Classification"
"consider data the 580 from ea3l","Classification"
"consider data the 5i7n1k2pzt for hs4760","Classification"
"consider data the ci5","Classification"
"consider data the d0hwglm data","Classification"
"consider data the d0hwglm data add into context as xrne","Classification"
"consider data the o4v76yi of k8gb9dzc","Classification"
"consider data zow6 data","Classification"
"consider ewd for me0z9v","Classification"
"consider ewd for me0z9v summarize data get iod8 data from cn1fetzxr compute measurement test results classification threshold 817.28 for 09lpr5 echo the data top outliers test the classifier","Classification"
"consider ewd for me0z9v test classifier summarize the data","Classification"
"consider the lmw8s at 5gab","Classification"
"consider wvpx4 data of yhj5v","Classification"
"consider x4guswo8a at 9tp2y1zlb3","Classification"
"consider xj4nacw2 data","Classification"
"consider xmgaonp from w3v5","Classification"
"create a classification pipeline","Classification"
"create a classifier ensemble of 555.899 neural network","Classification"
"create a classifier ensemble with 831.084 support vector machine","Classification"
"create a classifier ensemble with 831.084 support vector machine give the data outliers train classifier divide","Classification"
"create a classifier with 649.635 percent of data","Classification"
"create a classifier with gradient boosted trees over 683.632 percent of the available records","Classification"
"create a ensemble using RandomForest of 5fous62wdz","Classification"
"create a gradient boosted trees classifier","Classification"
"create a gradient boosted trees classifier","Classification"
"create a gradient boosted trees classifier verify the TrueNegativeExamples is smaller than true split the transform boolean variables into categorical","Classification"
"create a gradient boosted trees from i7xfovw classifier over 367.702 percent of available data","Classification"
"create a NaiveBayes of egj classifier over jkcwm3","Classification"
"create an classifier","Classification"
"create an classifier ensemble for random forest for 175.308 percent resampling with RandomSample","Classification"
"create an classifier ensemble with 897.254 of RandomForest","Classification"
"create an classifier over SupportVectorMachine using 346.399 fraction of records","Classification"
"create an classifier using n4x for 118.329 percent of available records","Classification"
"create an ensemble","Classification"
"create an ensemble of classifiers","Classification"
"create an LogisticRegression ensemble","Classification"
"create an standard classification workflow","Classification"
"create an support vector machine classifier with fps3rnmj over 863.134 fraction of the available records","Classification"
"create a pipeline for naive bayes","Classification"
"create a standard classification pipeline with gradient boosted trees","Classification"
"create a standard pipeline for RandomForest from d1htq","Classification"
"create classification workflow","Classification"
"create classification workflow","Classification"
"create classifier","Classification"
"create classifier ensemble with 89.222 NaiveBayes from gp9jfo over 299.435 % resampling","Classification"
"create classifier for 989.048 percent of the records","Classification"
"create classifier for logistic regression","Classification"
"create classifier over 3yqn8kho4p using 899.232 percent of records","Classification"
"create classifier using gradient boosted trees from 8l5dtcf","Classification"
"create classifier using NearestNeighbors","Classification"
"create classifier using SupportVectorMachine from s6mibk5cn7","Classification"
"create ensemble of classifiers for SupportVectorMachine of sy137w9","Classification"
"create ensemble of classifiers of 407.927 neural network classifiers","Classification"
"create ensemble of classifiers of 407.927 neural network classifiers remove the data outliers reduce the dimension for 160.369 axes through NMF","Classification"
"create ensemble of classifiers of 423.557 of random forest from g7q4i classifiers for 395.723 % of the data","Classification"
"create ensemble of classifiers of 864.844 GradientBoostedTrees from g1ij9ywtx classifiers","Classification"
"create ensemble of classifiers with 195.236 random forest","Classification"
"create ensemble with naive bayes of otz8vu over 678.158 percent resampling","Classification"
"create neural network from 2ah6xwco ensemble of classifiers with resampling with RandomSample","Classification"
"create pipeline","Classification"
"create pipeline","Classification"
"create RandomForest from mhf classifier with prq15kvyde over 777.851 fraction of available data","Classification"
"create standard classification pipeline","Classification"
"create standard classification workflow for logistic regression from uxdk","Classification"
"create standard pipeline with DecisionTree","Classification"
"create standard workflow","Classification"
"create the pipeline","Classification"
"create the pipeline for NaiveBayes","Classification"
"create the standard pipeline","Classification"
"create the standard pipeline","Classification"
"create workflow","Classification"
"cross-tabulate","Classification"
"cross-tabulate","Classification"
"cross tabulate","Classification"
"cross-tabulate 163 rd column against last variable test data","Classification"
"cross tabulate 3 nd vs class label column data","Classification"
"cross tabulate class label column vs dependent column in test data","Classification"
"cross-tabulate data","Classification"
"cross-tabulate data","Classification"
"cross-tabulate data","Classification"
"cross tabulate data","Classification"
"cross-tabulate data split the dataset using 61.738 665.017 remove the data outliers","Classification"
"cross tabulate dependent column vs 123 rd","Classification"
"cross-tabulate dependent variable against input column in data","Classification"
"cross-tabulate feature column vs 630 th variable","Classification"
"cross tabulate feature column vs label column in validating data data","Classification"
"cross tabulate feature variable against label variable in validating data data","Classification"
"cross tabulate feature variable vs 880 st","Classification"
"cross tabulate feature variable vs input variable in testing data","Classification"
"cross tabulate give line roc curve chart with auroc verify that the AreaUnderROCCurve is greater than True","Classification"
"cross tabulate input variable against 559 nd variable in data","Classification"
"cross-tabulate input variable vs 836 column","Classification"
"cross-tabulate input variable vs last in validating data","Classification"
"cross-tabulate input variable vs last in validating data divide the dataset modify boolean variables into symbolic transform the boolean variables into boolean","Classification"
"cross tabulate last against label variable","Classification"
"cross tabulate last against label variable in","Classification"
"cross-tabulate last column against 741","Classification"
"cross tabulate last vs feature variable in validation data","Classification"
"cross tabulate testing data data","Classification"
"cross tabulate testing data data","Classification"
"cross tabulate training data","Classification"
"cross tabulate validating data","Classification"
"dimension reduction for 191.353","Classification"
"dimension reduction for 339.201 with non-negative matrix decomposition","Classification"
"dimension reduction for 694.613 using nnmf","Classification"
"dimension reduction for 971.492 with SingularValueDecomposition","Classification"
"dimension reduction into 115.181 columns by SVD","Classification"
"dimension reduction into 267.076 columns by NMF","Classification"
"dimension reduction into 478.265 axes via SVD","Classification"
"dimension reduction into 478.265 axes via SVD","Classification"
"dimension reduction into 512.057 with SVD","Classification"
"dimension reduction into 550.221","Classification"
"dimension reduction into 619.01 over non negative matrix factorization","Classification"
"dimension reduction into 723.001","Classification"
"dimension reduction over 478.565 columns","Classification"
"dimension reduction over 75.2725 through singular value decomposition","Classification"
"dimension reduction over 75.2725 through singular value decomposition modify the logical columns into symbolic retrieve from context ac4g9o2 make LogisticRegression of 8435wiehcy classifier get the t8le at 1yqbjpnzi remove the data outliers","Classification"
"dimension reduction to 19.4576 using NNMF","Classification"
"dimension reduction to 732.583","Classification"
"dimension reduction to 748.792 for svd","Classification"
"dimension reduction to 783.928","Classification"
"dimension reduction to 791.081 through non negative matrix decomposition","Classification"
"dimension reduction to 917.309 axes","Classification"
"dimension reduction to 946.036 by non-negative matrix factorization","Classification"
"dimension reduction using 19.7517","Classification"
"dimension reduction using 483.181 columns over SVD","Classification"
"dimension reduction using 518.719","Classification"
"dimension reduction using 638.207 via NonNegativeMatrixDecomposition","Classification"
"dimension reduction using 951.502 over NonNegativeMatrixDecomposition","Classification"
"dimension reduction with 374.733 variables","Classification"
"dimension reduction with 470.386 topics","Classification"
"dimension reduction with 718.26 with singular value decomposition","Classification"
"dimension reduction with 740.553","Classification"
"display bottom outliers","Classification"
"display classifier accuracy","Classification"
"display classifier classes","Classification"
"display classifier classes","Classification"
"display classifier ClassNumber","Classification"
"display classifier FalseNegativeRate , F1Score , and true negative examples over the available test data","Classification"
"display classifier MethodDescription","Classification"
"display current context","Classification"
"display current pipeline context keys","Classification"
"display data largest outliers","Classification"
"display data outliers","Classification"
"display data summaries","Classification"
"display data summary","Classification"
"display line receiver operating characteristic chart of TNR","Classification"
"display line receiver operating characteristic chart of TNR give outliers modify timestamp time date temporal columns to categorical","Classification"
"display line receiver operating characteristic curves chart","Classification"
"display line receiver operating characteristic curves plot using Precision together with TNR","Classification"
"display line roc curve chart","Classification"
"display list line roc plots of area under roc curve , FalsePositiveRate , and SPC","Classification"
"display measurement least certain examples and false negative examples together with ClassRejectionRate and matthews correlation coefficient , and precision and CorrectlyClassifiedExamples over the available data","Classification"
"display outliers","Classification"
"display pipeline context","Classification"
"display receiver operating characteristic chart","Classification"
"display receiver operating characteristic curve line graph","Classification"
"display receiver operating characteristic curve line graph","Classification"
"display receiver operating characteristic curves plot for false negative rate and PPV , false negative rate together with recall","Classification"
"display receiver operating characteristic plot","Classification"
"display roc curve list line plots using for together with false positive rate , FalseOmissionRate , acc together with false positive rate","Classification"
"display roc ListLinePlot","Classification"
"display summaries","Classification"
"display summaries","Classification"
"display summary","Classification"
"display summary","Classification"
"display the bottom outliers","Classification"
"display the context value of a5nwydqo","Classification"
"display the context value of a5nwydqo test the classifier create an classifier using n4x for 118.329 percent of available records make a classification workflow using support vector machine","Classification"
"display the data outliers","Classification"
"display the value","Classification"
"display top outliers","Classification"
"display validating summary","Classification"
"display value of the context element avniwr4esu","Classification"
"divide","Classification"
"divide","Classification"
"divide","Classification"
"divide data","Classification"
"divide data","Classification"
"divide dataset","Classification"
"divide dataset into 578.921 / 721.492","Classification"
"divide dataset using 6.38282 % for training data and 912.709 percent validation data , 82.8963 percent for validation together with 194.255 % for testing","Classification"
"divide dataset using 979.763 12.46","Classification"
"divide into 819.191 / 197.064 ratio","Classification"
"divide test a classifier summarize the data verify that FalseNegativeRate of tgvh is equal to 63.9506","Classification"
"divide the","Classification"
"divide the","Classification"
"divide the","Classification"
"divide the","Classification"
"divide the by 716.569 / 194.671 ratio","Classification"
"divide the data","Classification"
"divide the data assert the LogLikelihood equals 377.266 find the outliers","Classification"
"divide the dataset","Classification"
"divide the dataset","Classification"
"divide the dataset into 412.288 / 542.237","Classification"
"divide the data using 716.767 percent testing","Classification"
"divide the data using 753.767 percent test data","Classification"
"divide using 931.181 % train","Classification"
"divide with 288.692 % of train data","Classification"
"echo classifier info","Classification"
"echo classifier information","Classification"
"echo classifier training time","Classification"
"echo current context keys","Classification"
"echo current value","Classification"
"echo current value","Classification"
"echo current value train ensemble of 341.608 of NaiveBayes for resampling echo validating together with train and validation summaries","Classification"
"echo data all outliers","Classification"
"echo data outliers","Classification"
"echo data summary","Classification"
"echo line receiver operating characteristic curves plot","Classification"
"echo line receiver operating characteristic plots over spc and FOR , and TrueNegativeRate together with false negative rate , f1","Classification"
"echo line roc curve plots of f1","Classification"
"echo list line receiver operating characteristic curve graph","Classification"
"echo list line receiver operating characteristic curve graph verify that the FalseDiscoveryRate is equal to 702.667 percent reduce dimension over 63.2163 using non-negative matrix decomposition verify that the ConfusionMatrix is greater than 509.122 percent","Classification"
"echo list line receiver operating characteristic plots using NPV","Classification"
"echo list line roc curve graph over precision , for , and AreaUnderROCCurve together with PPV , f1 score and Specificity","Classification"
"echo list line roc curve plot","Classification"
"echo list line roc plot","Classification"
"echo receiver operating characteristic curve plot of true positive rate","Classification"
"echo receiver operating characteristic curves plots using area under roc curve , and FalsePositiveRate","Classification"
"echo roc curves plot with Accuracy together with area under roc curve and FNR , and auroc , FalseNegativeRate and fnr","Classification"
"echo smallest outliers","Classification"
"echo smallest outliers reduce the dimension over 471.244 axes via NonNegativeMatrixDecomposition train RandomForest from wkzsf0 classifier","Classification"
"echo summary","Classification"
"echo summary","Classification"
"echo testing data , train data summaries","Classification"
"echo the current pipeline value","Classification"
"echo the data largest outliers","Classification"
"echo the data top outliers","Classification"
"echo the outliers","Classification"
"echo the outliers","Classification"
"echo validating together with train and validation summaries","Classification"
"echo validation and test data together with validating data together with training data summary","Classification"
"echo value","Classification"
"echo value for the context element l7fiq1uoex","Classification"
"echo value for the context element l7fiq1uoex cross tabulate testing data data","Classification"
"find accuracies by column shuffling","Classification"
"find and echo classifier test results by the classification threshold 494.849 of 51s9rbo6n for the classifier","Classification"
"find and echo variable importance","Classification"
"find and give the accuracies by variable shuffling","Classification"
"find and show the variable importance estimates","Classification"
"find classifier measurement test results","Classification"
"find data all outliers per class label","Classification"
"find data largest outliers per class label","Classification"
"find data outliers","Classification"
"find data outliers","Classification"
"find data smallest outliers per class","Classification"
"find measurement MatthewsCorrelationCoefficient , and accuracy together with properties and MatthewsCorrelationCoefficient and FalsePositiveRate over available test data","Classification"
"find measurement test results","Classification"
"find outliers per class","Classification"
"find the accuracies by variable shuffling","Classification"
"find the all outliers","Classification"
"find the all outliers per class label","Classification"
"find the data bottom outliers","Classification"
"find the data bottom outliers","Classification"
"find the data outliers","Classification"
"find the data smallest outliers per class label","Classification"
"find the largest outliers","Classification"
"find the outliers","Classification"
"find the outliers","Classification"
"find the outliers train ensemble using 761.397 LogisticRegression from y86xj classifiers using 890.664 percent resampling with RandomSample generate classification pipeline with naive bayes from 530ndjobw assert the Error of zg45rt equals True give outliers","Classification"
"find the variable importance estimates","Classification"
"find the variable shuffling accuracies","Classification"
"generate an classification pipeline for gradient boosted trees from gk2","Classification"
"generate an pipeline","Classification"
"generate an pipeline","Classification"
"generate a standard pipeline","Classification"
"generate classification pipeline","Classification"
"generate classification pipeline","Classification"
"generate classification pipeline using naive bayes from yr1cf87","Classification"
"generate classification pipeline with naive bayes from 530ndjobw","Classification"
"generate standard classification pipeline","Classification"
"generate standard classification workflow using neural network of e4n7oa","Classification"
"generate standard classification workflow with logistic regression","Classification"
"generate standard workflow over logistic regression of ri1d5f29j8","Classification"
"generate the classification pipeline for NeuralNetwork from pokal1rh","Classification"
"generate the standard pipeline","Classification"
"generate workflow","Classification"
"generate workflow","Classification"
"generate workflow over random forest","Classification"
"get 2rpytjlzo at y9tkuw2b5p","Classification"
"get 2z6b9 data at yo57t","Classification"
"get cty from context","Classification"
"get data gz7bruc513 data","Classification"
"get data the 9u16pdk8h data for 5cb37hutm","Classification"
"get data the p4a7d3 at r3laoi","Classification"
"get data the y45pn data","Classification"
"get data viasdjwc6 data of vy4f20lxok","Classification"
"get from context xo2nwv","Classification"
"get goyz7d from context","Classification"
"get iod8 data from cn1fetzxr","Classification"
"get kuqx from context","Classification"
"get r8b60e from context","Classification"
"get the 1b6y58m0h","Classification"
"get the i6q data","Classification"
"get the j7cig data of s4y5r","Classification"
"get the t8le at 1yqbjpnzi","Classification"
"give classifier Accuracy","Classification"
"give classifier Accuracy","Classification"
"give classifier Accuracy summarize the data divide dataset using 6.38282 % for training data and 912.709 percent validation data , 82.8963 percent for validation together with 194.255 % for testing","Classification"
"give classifier class number","Classification"
"give classifier info","Classification"
"give classifier information","Classification"
"give classifier information","Classification"
"give classifier information","Classification"
"give classifier measurement ClassRejectionRate threshold 847.973 for bmdnq over available test data","Classification"
"give classifier training time","Classification"
"give classifier TrainingTime","Classification"
"give context keys","Classification"
"give context keys","Classification"
"give context keys create classifier using gradient boosted trees from 8l5dtcf","Classification"
"give current context keys","Classification"
"give data summaries","Classification"
"give data summary","Classification"
"give data summary","Classification"
"give line receiver operating characteristic curves plots using AreaUnderROCCurve , and AreaUnderROCCurve and FalseNegativeRate","Classification"
"give line receiver operating characteristic curves plots using AreaUnderROCCurve , and AreaUnderROCCurve and FalseNegativeRate modify the numeric variables into categorical divide dataset into 578.921 / 721.492 make a ensemble of classifiers of 463.609 of NaiveBayes over 160.885 percent resampling","Classification"
"give line roc curve chart","Classification"
"give line roc curve chart with auroc","Classification"
"give line roc curve plot of f1 score","Classification"
"give list line receiver operating characteristic plot with accuracy , ppv , and ACC","Classification"
"give list line receiver operating characteristic plot with FDR and FPR together with area under roc curve","Classification"
"give list line roc curves graph","Classification"
"give outliers","Classification"
"give receiver operating characteristic curve plot","Classification"
"give summaries","Classification"
"give summary","Classification"
"give summary","Classification"
"give summary","Classification"
"give testing and validating , and test data together with training data together with validating data , and test data summary","Classification"
"give the bottom outliers","Classification"
"give the current pipeline context value for e0miqtxl9n","Classification"
"give the current pipeline value","Classification"
"give the data outliers","Classification"
"give the data smallest outliers","Classification"
"give the pipeline value","Classification"
"give top outliers","Classification"
"give validation data data summary","Classification"
"give value","Classification"
"how many classifiers","Classification"
"how many classifiers","Classification"
"how many classifiers","Classification"
"how many classifiers","Classification"
"how many classifiers","Classification"
"how many classifiers?","Classification"
"how many classifiers?","Classification"
"how many classifiers?","Classification"
"into 181.299 percent test","Classification"
"into 258.821 927.72","Classification"
"into 387.633 percent train","Classification"
"into 752.578 / 370.503","Classification"
"load 7l4p3n0w","Classification"
"load b5mv8 data for ga8rlfp","Classification"
"load data 1352ejydx at cyrodgf","Classification"
"load data hzmr0ukg5x data at tozvek8b5x","Classification"
"load data iro62z1luv data","Classification"
"load data the 37gzx0p data","Classification"
"load data the jh0w data for g7ors","Classification"
"load data the jlbfuaet54 at je416w7k9","Classification"
"load data the qxg","Classification"
"load data x8mfyago4 of 4xktl3eg2","Classification"
"load data zkrwox361c data","Classification"
"load diz","Classification"
"load kjz data","Classification"
"load kwrdna6j","Classification"
"load kwrdna6j create RandomForest from mhf classifier with prq15kvyde over 777.851 fraction of available data find measurement MatthewsCorrelationCoefficient , and accuracy together with properties and MatthewsCorrelationCoefficient and FalsePositiveRate over available test data give the bottom outliers","Classification"
"load sq6ua","Classification"
"load the bvg at z1qhucr5kb","Classification"
"load the bvg at z1qhucr5kb","Classification"
"load the k4wby085","Classification"
"load the kbi8 data","Classification"
"load xtyvw0zorh","Classification"
"load yhbarws9cv data for x17z5q","Classification"
"make a classification workflow using support vector machine","Classification"
"make a classifier for SupportVectorMachine using 677.211 percent of the data","Classification"
"make a classifier over NeuralNetwork from i59njq","Classification"
"make a classifier using 1a368s for 199.88 fraction of the available data","Classification"
"make a classifier with NeuralNetwork","Classification"
"make a DecisionTree classifier","Classification"
"make a ensemble of classifiers","Classification"
"make a ensemble of classifiers for logistic regression from eq01","Classification"
"make a ensemble of classifiers of 463.609 of NaiveBayes over 160.885 percent resampling","Classification"
"make a ensemble of classifiers over 499.762 naive bayes of k7iorjut4","Classification"
"make a ensemble of classifiers with 692.497 NaiveBayes from h17w4bn5y","Classification"
"make a ensemble using 472.411 of SupportVectorMachine using 792.779 % of data with RandomChoice","Classification"
"make a ensemble using 90.6966 decision tree of oudf classifiers","Classification"
"make an classification pipeline","Classification"
"make an classifier","Classification"
"make an DecisionTree classifier with 354.259 fraction of the records","Classification"
"make an decision tree from egzq67 classifier for xaz8l6w2hs over 645.036 fraction of available data","Classification"
"make an ensemble of 639.747 of nearest neighbors from 0o3bh5k with of data with RandomChoice","Classification"
"make an standard pipeline with GradientBoostedTrees","Classification"
"make a pipeline with RandomForest","Classification"
"make a pipeline with RandomForest","Classification"
"make classifier","Classification"
"make classifier ensemble for 77.2803 of random forest of 46evlti","Classification"
"make classifier ensemble for 98.1937 SupportVectorMachine classifiers","Classification"
"make classifier ensemble over support vector machine over 114.282 percent resampling with RandomChoice","Classification"
"make classifier ensemble with of data","Classification"
"make classifier for decision tree from wye5loh over 877.137 fraction of available records","Classification"
"make classifier for neural network of 2aqf5zi","Classification"
"make classifier over NaiveBayes for 395.228 fraction of available data","Classification"
"make classifier using DecisionTree of 48lc","Classification"
"make classifier with gradient boosted trees","Classification"
"make classifier with neural network from or0pw2874z","Classification"
"make decision tree ensemble","Classification"
"make ensemble of 153.68 SupportVectorMachine from drthzql with of the data with RandomChoice","Classification"
"make ensemble of 322.214 DecisionTree with 354.871 % resampling","Classification"
"make ensemble of classifiers for 561.701 NaiveBayes from tyef0hbj classifiers","Classification"
"make ensemble of classifiers for 786.147 of neural network over 80.4188 percent of the data with RandomSample","Classification"
"make ensemble of classifiers of 165.782 of logistic regression from v7aiwezog for resampling","Classification"
"make ensemble of classifiers of 165.782 of logistic regression from v7aiwezog for resampling","Classification"
"make ensemble of classifiers of 439.794 neural network from h6129v4t0s classifiers","Classification"
"make ensemble of classifiers of 710.288 NearestNeighbors","Classification"
"make ensemble of classifiers over SupportVectorMachine using resampling with RandomChoice","Classification"
"make ensemble using DecisionTree over resampling with RandomChoice","Classification"
"make ensemble with 923.122 random forest of ro7c for 705.585 percent of data with RandomSample","Classification"
"make LogisticRegression of 8435wiehcy classifier","Classification"
"make LogisticRegression of t286 classifier","Classification"
"make neural network of f8kls7h classifier over o6h using 874.701 fraction of data","Classification"
"make standard classification workflow using naive bayes","Classification"
"make standard pipeline with random forest of 9q3tn","Classification"
"make standard workflow using RandomForest from 97dajr62c","Classification"
"make the standard classification pipeline with decision tree","Classification"
"make the standard classification pipeline with SupportVectorMachine from z1dk28a","Classification"
"make the standard classification workflow over neural network from n10qxc","Classification"
"make the standard workflow","Classification"
"modify boolean columns to boolean","Classification"
"modify boolean variables into symbolic","Classification"
"modify boolean variables to numeric","Classification"
"modify categorical columns into symbolic","Classification"
"modify character variables to symbolic","Classification"
"modify double columns into string","Classification"
"modify numerical variables to symbolic","Classification"
"modify numeric columns to double","Classification"
"modify symbolic columns into categorical","Classification"
"modify symbolic columns into timestamp time date temporal","Classification"
"modify symbolic columns to boolean","Classification"
"modify symbolic variables to double","Classification"
"modify symbolic variables to logic","Classification"
"modify the categorical variables to categorical","Classification"
"modify the character columns to symbolic","Classification"
"modify the logical columns into symbolic","Classification"
"modify the logical variables into character","Classification"
"modify the numerical columns into string","Classification"
"modify the numerical variables into numerical","Classification"
"modify the numerical variables to symbolic","Classification"
"modify the numeric columns to numeric","Classification"
"modify the numeric variables into categorical","Classification"
"modify the symbolic columns to symbolic","Classification"
"modify the symbolic columns to symbolic","Classification"
"modify the timestamp time date temporal variables into character","Classification"
"modify timestamp time date temporal columns into categorical","Classification"
"modify timestamp time date temporal columns into symbolic","Classification"
"modify timestamp time date temporal columns into symbolic","Classification"
"modify timestamp time date temporal columns to categorical","Classification"
"modify timestamp time date temporal columns to timestamp time date temporal","Classification"
"modify timestamp time date temporal columns to timestamp time date temporal","Classification"
"put in context as 3bt","Classification"
"put in context as 8w4jh","Classification"
"put in context as frp","Classification"
"put in context as pxm09qg8","Classification"
"put in context as yirvd3p","Classification"
"put in context as yirvd3p dimension reduction to 783.928 divide dataset using 979.763 12.46 remove smallest outliers","Classification"
"put into context as 2e1h","Classification"
"put to context as jzme","Classification"
"reduce dimension for 906.93 topics","Classification"
"reduce dimension for 906.93 topics make ensemble of classifiers for 786.147 of neural network over 80.4188 percent of the data with RandomSample echo classifier training time echo line receiver operating characteristic plots over spc and FOR , and TrueNegativeRate together with false negative rate , f1","Classification"
"reduce dimension into 373.058 with NNMF","Classification"
"reduce dimension into 393.441 variables","Classification"
"reduce dimension into 626.89 columns","Classification"
"reduce dimension into 955.171 topics via non-negative matrix decomposition","Classification"
"reduce dimension over 235.943 topics over singular value decomposition","Classification"
"reduce dimension over 63.2163 using non-negative matrix decomposition","Classification"
"reduce dimension over 886.5","Classification"
"reduce dimension to 327.57 topics for SingularValueDecomposition","Classification"
"reduce dimension to 690.353 variables with nmf","Classification"
"reduce dimension to 82.3912 columns","Classification"
"reduce dimension to 956.916 through SingularValueDecomposition","Classification"
"reduce dimension to 992.484 by NNMF","Classification"
"reduce dimension to 992.484 by NNMF remove the data smallest outliers transform the symbolic variables into logic dimension reduction to 732.583 divide dataset into 578.921 / 721.492","Classification"
"reduce dimension using 802.489","Classification"
"reduce dimension with 657.491 columns","Classification"
"reduce the dimension for 160.369 axes through NMF","Classification"
"reduce the dimension for 167.182 via SingularValueDecomposition","Classification"
"reduce the dimension for 169.436 by NMF","Classification"
"reduce the dimension into 4.13476 axes","Classification"
"reduce the dimension into 555.449 over nnmf","Classification"
"reduce the dimension into 734.127","Classification"
"reduce the dimension over 471.244 axes via NonNegativeMatrixDecomposition","Classification"
"reduce the dimension to 25.1158","Classification"
"reduce the dimension using 766.529 variables","Classification"
"reduce the dimension with 899.678 variables","Classification"
"reduce the dimension with 970.714 by non negative matrix factorization","Classification"
"remove bottom outliers","Classification"
"remove data largest outliers","Classification"
"remove data largest outliers verify that ConfusionMatrix of kzy6v4aqxj is larger than false","Classification"
"remove data outliers","Classification"
"remove data outliers","Classification"
"remove data outliers","Classification"
"remove outliers","Classification"
"remove outliers","Classification"
"remove outliers","Classification"
"remove outliers load yhbarws9cv data for x17z5q","Classification"
"remove smallest outliers","Classification"
"remove the all outliers","Classification"
"remove the bottom outliers","Classification"
"remove the bottom outliers","Classification"
"remove the data outliers","Classification"
"remove the data outliers","Classification"
"remove the data outliers","Classification"
"remove the data outliers","Classification"
"remove the data smallest outliers","Classification"
"remove the data top outliers","Classification"
"remove the data top outliers calculate measurement test results","Classification"
"remove the largest outliers","Classification"
"remove the outliers","Classification"
"remove the outliers","Classification"
"remove the outliers","Classification"
"remove the outliers","Classification"
"remove the outliers","Classification"
"remove the top outliers","Classification"
"retrieve avd8o3 from context","Classification"
